id_paper;Nombre_Autor
https://doi.org/10.1016/j.jor.2020.06.003;Zoe B.Cheung
https://doi.org/10.1016/j.jor.2020.06.003;David A.Forsh
https://doi.org/10.1016/j.ajic.2020.06.206;Muhammad Hasnain
https://doi.org/10.1016/j.ajic.2020.06.206;Muhammad Fermi Pasha
https://doi.org/10.1016/j.ajic.2020.06.206;Imran Ghani
https://doi.org/10.1016/j.ajic.2020.06.206;Rahmat Budiarto
https://doi.org/10.1016/j.ajic.2020.06.193;Hadeel A.Alsufyania
https://doi.org/10.1016/j.rssm.2020.100522;James R.Dochertyb
https://doi.org/10.1016/j.jdiacomp.2020.107666;Paul B.Whittemore
https://doi.org/10.1016/j.cegh.2020.06.004;Yue Qiana
https://doi.org/10.1016/j.cegh.2020.06.004;Wen Fan
https://doi.org/10.1016/j.shaw.2020.06.001;Qianhui Zhang
https://doi.org/10.1016/j.shaw.2020.06.001;Yanhong Wei
https://doi.org/10.1016/j.shaw.2020.06.001;Min Chen
https://doi.org/10.1016/j.shaw.2020.06.001;Qianqian Wan
https://doi.org/10.1016/j.shaw.2020.06.001;Xiaoqi Chen
https://doi.org/10.1016/j.arteri.2020.06.003;Atanu Bhattacharjee
https://doi.org/10.1016/j.arteri.2020.06.003;Mukesh Kumarc
https://doi.org/10.1016/j.arteri.2020.06.003;Kamalesh Kumar Patel
https://doi.org/10.1016/j.biopha.2020.110499;Malizgani Mhango
https://doi.org/10.1016/j.biopha.2020.110499;Mathias Dzobo
https://doi.org/10.1016/j.biopha.2020.110499;Itai Chitungo
https://doi.org/10.1016/j.biopha.2020.110499;Tafadzwa Dzinamarira
https://doi.org/10.1016/j.jiph.2020.05.020;Marcos M. Lima Martínez
https://doi.org/10.1016/j.jiph.2020.05.020;Miguel A. Contreras
https://doi.org/10.1016/j.jiph.2020.05.020;Waleskha Martin
https://doi.org/10.1016/j.jiph.2020.05.020;Luis D Marco
https://doi.org/10.1016/j.pcd.2020.06.010;Minhua Peng
https://doi.org/10.1016/j.jmii.2020.05.013;Thamir A.Alandijany
https://doi.org/10.1016/j.jmii.2020.05.013;Arwa A.Faizo
https://doi.org/10.1016/j.jmii.2020.05.013;Esam I.Azhar
https://doi.org/10.1016/j.rccar.2020.05.004;Eleni Papadokostakia
https://doi.org/10.1016/j.rccar.2020.05.004;Nikolaos Tentolouris
https://doi.org/10.1016/j.rccar.2020.05.004;Evangelos Liberopoulos
https://doi.org/10.1016/j.mpdhp.2020.06.001;Chih-Cheng Lai
https://doi.org/10.1016/j.mpdhp.2020.06.001;Cheng-Yi Wang
https://doi.org/10.1016/j.mpdhp.2020.06.001;Po-Ren Hsueh
https://doi.org/10.1016/j.nmni.2020.100684;Guillermo Mora
https://doi.org/10.1016/j.otorri.2020.04.003;Abhisek Ghosh
https://doi.org/10.1016/j.otorri.2020.04.003;Richard Colling
https://doi.org/10.1016/j.molmet.2020.101044;R.Choudhary
https://doi.org/10.1016/j.molmet.2020.101044;A.K.Sharma
https://doi.org/10.1016/j.retram.2020.06.001;Joan Lop Gros
https://doi.org/10.1016/j.retram.2020.06.001;Mar Iglesias Coma
https://doi.org/10.1016/j.retram.2020.06.001;Mónica González Farré
https://doi.org/10.1016/j.retram.2020.06.001;Consol Serra Pujadas
https://doi.org/10.1016/j.ijantimicag.2020.106053;Suheda Erener
https://doi.org/10.1016/j.nrl.2020.04.015;Maryam Baghizadeh Fini
https://doi.org/10.1016/j.biopha.2020.110337;Tamim Alsuliman
https://doi.org/10.1016/j.biopha.2020.110337;Rand Sulaiman
https://doi.org/10.1016/j.biopha.2020.110337;Micha Srour
https://doi.org/10.1016/j.biopha.2020.110337;Sawsan Ismail
https://doi.org/10.1016/j.biopha.2020.110337;Ali Alrstom
https://doi.org/10.1016/j.niox.2020.06.002;Arianna Pani
https://doi.org/10.1016/j.niox.2020.06.002;Marinella Lauriola
https://doi.org/10.1016/j.niox.2020.06.002;Alessandra Romandini
https://doi.org/10.1016/j.niox.2020.06.002;Francesco Scaglione
https://doi.org/10.1016/j.jaci.2020.05.033;J.M.Trejo-Gabriel-Galán
https://doi.org/10.1016/j.clineuro.2020.105866;Leila Jahanshahlu
https://doi.org/10.1016/j.clineuro.2020.105866;Nima Rezaei
https://doi.org/10.1016/j.thromres.2020.06.027;Jun Wu
https://doi.org/10.1016/j.cpcardiol.2020.100645;Koahosokimd-Phd
https://doi.org/10.1016/j.cpcardiol.2020.100645;Abhijit Chakraborty-Phd
https://doi.org/10.1016/j.cpcardiol.2020.100645;Sanjiv Sur-Md
https://doi.org/10.1016/j.jmii.2020.03.022;Mitchell P Wilson
https://doi.org/10.1016/j.jmii.2020.03.022;Andrew S Jack
https://doi.org/10.1016/j.jns.2020.116832;Alexander Fletcher-Sandersjöö
https://doi.org/10.1016/j.jns.2020.116832;Bo-Michael Bellander
https://doi.org/10.1016/j.jasc.2020.03.001;Filip M.Szymanskimd-Phd
https://doi.org/10.1016/j.jasc.2020.03.001;Cezary  Smuniewski-Phd
https://doi.org/10.1016/j.jasc.2020.03.001;Anna E.Platekmd-Phd
https://doi.org/10.1016/j.tmrv.2020.06.001;Leila Mousavizadeh
https://doi.org/10.1016/j.tmrv.2020.06.001;Sorayya Ghasemi
https://doi.org/10.1016/j.nmni.2020.100673;Ali A.Asadi-Pooya
https://doi.org/10.1016/j.nmni.2020.100673;Leila Simani
https://doi.org/10.1016/j.phclin.2020.06.003;Stefan E.Pambuccian
https://doi.org/10.1016/j.jrid.2020.04.001;Gary Liaoa
https://doi.org/10.1016/j.jrid.2020.04.001;Katina Zheng
https://doi.org/10.1016/j.jrid.2020.04.001;Manoj M. Lalua,Dean A. Fergusson
https://doi.org/10.1016/j.jrid.2020.04.001;David S. Allan
https://doi.org/10.1016/j.ijsu.2020.06.027;A. A. Dawood
https://doi.org/10.1016/j.bbi.2020.04.056;Z. Khan
https://doi.org/10.1016/j.bbi.2020.04.056;Y. Karataş
https://doi.org/10.1016/j.bbi.2020.04.056;A.F. Ceylan
https://doi.org/10.1016/j.bbi.2020.04.056;H. Rahman
https://doi.org/10.1016/j.bj.2020.05.023;Meng Li
https://doi.org/10.1016/j.intcar.2020.100003;Salman Y. Guraya
https://doi.org/10.1016/j.ppedcard.2020.101259;Ravi Philip Rajkumar
https://doi.org/10.1016/j.ajps.2020.06.001;Shaylika Chauhan
https://doi.org/10.1016/j.bbih.2020.100092;Chris Carter
https://doi.org/10.1016/j.bbih.2020.100092;Joy Notter
https://doi.org/10.1016/j.ppedcard.2020.101259;Priya Nigam
https://doi.org/10.1016/j.cytogfr.2020.06.012;Sharon Weinberger
https://doi.org/10.1016/j.cytogfr.2020.06.012;Shubhika Srivastava
https://doi.org/10.1016/j.cytogfr.2020.06.012;Richard Lorber
https://doi.org/10.1016/j.cjtee.2020.06.002;Yuefei Zhu
https://doi.org/10.1016/j.cjtee.2020.06.002;Jia Li
https://doi.org/10.1016/j.cjtee.2020.06.002;Zhiqing Pang
https://doi.org/10.1016/j.cpcardiol.2020.100648;Marcos Altable
https://doi.org/10.1016/j.cpcardiol.2020.100648;Juan Moisésde La Serna
https://doi.org/10.1016/j.jinf.2020.04.011;Cinzia Solinas
https://doi.org/10.1016/j.jinf.2020.04.011;Laura Perra
https://doi.org/10.1016/j.jinf.2020.04.011;Marco Aiello
https://doi.org/10.1016/j.jinf.2020.04.011;Edoardo Migliori
https://doi.org/10.1016/j.jinf.2020.04.011;Nicolapetrosillo
https://doi.org/10.1016/j.cdtm.2020.05.002;Hong-Yuan Lin
https://doi.org/10.1016/j.kint.2020.05.013;Syed Imran Ahmed Mclin Pharm Phd Mrsph
https://doi.org/10.1016/j.kint.2020.05.013;Shahzad Khan Mbbs Phd
https://doi.org/10.1016/j.cmi.2020.06.020;Huilan Tu
https://doi.org/10.1016/j.cmi.2020.06.020;Sheng Tu
https://doi.org/10.1016/j.cmi.2020.06.020;Shiqi Gao
https://doi.org/10.1016/j.cmi.2020.06.020;Anwen Shao
https://doi.org/10.1016/j.cmi.2020.06.020;Jifang Sheng
https://doi.org/10.1016/j.cytogfr.2020.06.014;Lu-Lu Yang
https://doi.org/10.1016/j.cytogfr.2020.06.014;Ting Yang
https://doi.org/10.1016/j.jcms.2020.03.011;Marina Noris
https://doi.org/10.1016/j.jcms.2020.03.011;Ariela Benigni
